season,week,date,home_team_id,away_team_id,home_team_score,away_team_score,ftr
2022,32,4/10/2022,10,9,2,2,D
2022,33,4/16/2022,18,1808,0,1,A
2022,33,4/16/2022,11,1792,3,2,H
2022,33,4/16/2022,17,1,1,0,H
2022,33,4/16/2022,1795,1925,1,2,A
2022,33,4/17/2022,19,1796,1,1,D
2022,33,4/17/2022,13,95,2,1,H
2022,33,5/10/2022,2,9,1,2,A
2022,33,5/11/2022,8,5,0,3,A
2022,33,5/11/2022,110,10,1,5,A
2022,33,5/19/2022,7,1799,3,2,H
2022,34,4/23/2022,1,11,3,1,H
2022,34,4/23/2022,10,1795,5,1,H
2022,34,4/23/2022,95,2,0,0,D
2022,34,4/23/2022,1792,13,0,3,A
2022,34,4/23/2022,1925,18,0,0,D
2022,34,4/24/2022,5,19,1,0,H
2022,34,4/24/2022,1796,110,1,0,H
2022,34,4/24/2022,1808,17,2,2,D
2022,34,4/24/2022,9,7,2,0,H
2022,34,4/25/2022,1799,8,0,0,D
2022,35,4/30/2022,13,9,0,1,A
2022,35,4/30/2022,1795,1796,1,2,A
2022,35,4/30/2022,17,1799,1,2,A
2022,35,4/30/2022,110,1808,0,3,A
2022,35,4/30/2022,2,1792,2,0,H
2022,35,4/30/2022,8,10,0,4,A
2022,35,5/1/2022,18,95,3,1,H
2022,35,5/1/2022,7,5,1,0,H
2022,35,5/1/2022,19,1,1,2,A
2022,35,5/2/2022,11,1925,3,0,H
2022,36,5/7/2022,5,110,2,2,D
2022,36,5/7/2022,1925,17,3,0,H
2022,36,5/7/2022,1799,1795,1,0,H
2022,36,5/7/2022,1796,2,1,3,A
2022,36,5/7/2022,1808,11,4,0,H
2022,36,5/7/2022,9,18,1,1,D
2022,36,5/8/2022,1792,19,0,4,A
2022,36,5/8/2022,1,8,2,1,H
2022,36,5/8/2022,95,7,1,2,A
2022,36,5/8/2022,10,13,5,0,H
2022,37,4/28/2022,11,5,1,1,D
2022,37,5/15/2022,18,1796,1,0,H
2022,37,5/15/2022,1795,95,1,5,A
2022,37,5/15/2022,19,10,2,2,D
2022,37,5/15/2022,8,1808,1,1,D
2022,37,5/15/2022,110,1792,1,1,D
2022,37,5/15/2022,2,1799,1,1,D
2022,37,5/15/2022,7,1925,2,3,A
2022,37,5/16/2022,13,1,2,0,H
2022,37,5/17/2022,17,9,1,2,A
2022,38,5/22/2022,1808,19,3,1,H
2022,38,5/22/2022,1925,8,1,2,A
2022,38,5/22/2022,95,17,4,1,H
2022,38,5/22/2022,1,7,5,1,H
2022,38,5/22/2022,1799,11,1,0,H
2022,38,5/22/2022,1792,18,0,5,A
2022,38,5/22/2022,1796,13,1,2,A
2022,38,5/22/2022,9,110,3,1,H
2022,38,5/22/2022,10,2,3,2,H
2022,38,5/22/2022,5,1795,2,1,H
2022,4,9/11/2021,1799,18,3,0,H
2022,4,9/11/2021,17,19,0,0,D
2022,4,9/11/2021,11,13,4,1,H
2022,4,9/11/2021,1,1792,1,0,H
2022,4,9/11/2021,95,10,0,1,A
2022,4,9/11/2021,1795,110,0,2,A
